country,name
,count
Argentina,3
Australia,12
Austria,2
Belgium,1
Brazil,12
Canada,15
Chile,6
China,109
Cyprus,4
Denmark,2
Egypt,2
Finland,3
France,15
Georgia,1
Germany,39
Hong Kong,19
Iceland,1
India,34
Indonesia,6
Ireland,2
Israel,6
Italy,18
Japan,13
Kazakhstan,2
Kuwait,2
Lebanon,2
Malaysia,6
Mexico,7
Morocco,1
Netherlands,1
New Zealand,1
Nigeria,2
None,1375
Norway,8
People's Republic of China,45
Peru,2
Philippines,4
Poland,1
Portugal,1
Qatar,2
Russia,41
Singapore,6
Slovakia,1
South Africa,3
South Korea,16
Spain,11
St. Kitts and Nevis,1
Sweden,5
Switzerland,9
Taiwan,16
Tanzania,1
Thailand,12
Turkey,15
UAE,1
UK,7
USA,55
Ukraine,2
United Arab Emirates,3
United Kingdom,21
United States,192
Venezuela,1
Vietnam,2
